"division","state","years","sex","measure","participants"
"Victoria","Wills","75-79","female","Participation rate (%)",82.6
"Queensland","Blair","75-79","female","Total participants",1649
"Queensland","Blair","75-79","female","Eligible participants",1891
"Queensland","Blair","75-79","female","Participation rate (%)",87.2
"Queensland","Bonner","75-79","female","Total participants",1918
"Queensland","Bonner","75-79","female","Eligible participants",2118
"Queensland","Bonner","75-79","female","Participation rate (%)",90.6
"Queensland","Bowman","75-79","female","Total participants",2129
"Queensland","Bowman","75-79","female","Eligible participants",2361
"Queensland","Bowman","75-79","female","Participation rate (%)",90.2
"Queensland","Brisbane","75-79","female","Total participants",1158
"Queensland","Brisbane","75-79","female","Eligible participants",1299
"Queensland","Brisbane","75-79","female","Participation rate (%)",89.1
"Queensland","Capricornia","75-79","female","Total participants",1663
"Queensland","Capricornia","75-79","female","Eligible participants",1923
"Queensland","Capricornia","75-79","female","Participation rate (%)",86.5
"Queensland","Dawson","75-79","female","Total participants",1685
"Queensland","Dawson","75-79","female","Eligible participants",1902
"Queensland","Dawson","75-79","female","Participation rate (%)",88.6
"Queensland","Dickson","75-79","female","Total participants",1374
"Queensland","Dickson","75-79","female","Eligible participants",1515
"Queensland","Dickson","75-79","female","Participation rate (%)",90.7
"Queensland","Fadden","75-79","female","Total participants",2113
"Queensland","Fadden","75-79","female","Eligible participants",2388
"Queensland","Fadden","75-79","female","Participation rate (%)",88.5
"Queensland","Fairfax","75-79","female","Total participants",2450
"Queensland","Fairfax","75-79","female","Eligible participants",2714
"Queensland","Fairfax","75-79","female","Participation rate (%)",90.3
"Queensland","Fisher","75-79","female","Total participants",2619
"Queensland","Fisher","75-79","female","Eligible participants",2894
"Queensland","Fisher","75-79","female","Participation rate (%)",90.5
"Queensland","Flynn","75-79","female","Total participants",1485
"Queensland","Flynn","75-79","female","Eligible participants",1662
"Queensland","Flynn","75-79","female","Participation rate (%)",89.4
"Queensland","Forde","75-79","female","Total participants",1527
"Queensland","Forde","75-79","female","Eligible participants",1762
"Queensland","Forde","75-79","female","Participation rate (%)",86.7
"Queensland","Griffith","75-79","female","Total participants",1193
"Queensland","Griffith","75-79","female","Eligible participants",1353
"Queensland","Griffith","75-79","female","Participation rate (%)",88.2
"Queensland","Groom","75-79","female","Total participants",2221
"Queensland","Groom","75-79","female","Eligible participants",2421
"Queensland","Groom","75-79","female","Participation rate (%)",91.7
"Queensland","Herbert","75-79","female","Total participants",1480
"Queensland","Herbert","75-79","female","Eligible participants",1722
"Queensland","Herbert","75-79","female","Participation rate (%)",85.9
"Queensland","Hinkler","75-79","female","Total participants",3097
"Queensland","Hinkler","75-79","female","Eligible participants",3475
"Queensland","Hinkler","75-79","female","Participation rate (%)",89.1
"Queensland","Kennedy","75-79","female","Total participants",1898
"Queensland","Kennedy","75-79","female","Eligible participants",2291
"Queensland","Kennedy","75-79","female","Participation rate (%)",82.8
"Queensland","Leichhardt","75-79","female","Total participants",1279
"Queensland","Leichhardt","75-79","female","Eligible participants",1531
"Queensland","Leichhardt","75-79","female","Participation rate (%)",83.5
"Queensland","Lilley","75-79","female","Total participants",2103
"Queensland","Lilley","75-79","female","Eligible participants",2332
"Queensland","Lilley","75-79","female","Participation rate (%)",90.2
"Queensland","Longman","75-79","female","Total participants",2196
"Queensland","Longman","75-79","female","Eligible participants",2452
"Queensland","Longman","75-79","female","Participation rate (%)",89.6
"Queensland","Maranoa","75-79","female","Total participants",2280
"Queensland","Maranoa","75-79","female","Eligible participants",2529
"Queensland","Maranoa","75-79","female","Participation rate (%)",90.2
"Queensland","McPherson","75-79","female","Total participants",2038
"Queensland","McPherson","75-79","female","Eligible participants",2306
"Queensland","McPherson","75-79","female","Participation rate (%)",88.4
"Queensland","Moncrieff","75-79","female","Total participants",2350
"Queensland","Moncrieff","75-79","female","Eligible participants",2655
"Queensland","Moncrieff","75-79","female","Participation rate (%)",88.5
"Queensland","Moreton","75-79","female","Total participants",1567
"Queensland","Moreton","75-79","female","Eligible participants",1766
"Queensland","Moreton","75-79","female","Participation rate (%)",88.7
"Queensland","Oxley","75-79","female","Total participants",1242
"Queensland","Oxley","75-79","female","Eligible participants",1454
"Queensland","Oxley","75-79","female","Participation rate (%)",85.4
"Queensland","Petrie","75-79","female","Total participants",2326
"Queensland","Petrie","75-79","female","Eligible participants",2609
"Queensland","Petrie","75-79","female","Participation rate (%)",89.2
"Queensland","Rankin","75-79","female","Total participants",1201
"Queensland","Rankin","75-79","female","Eligible participants",1409
"Queensland","Rankin","75-79","female","Participation rate (%)",85.2
"Queensland","Ryan","75-79","female","Total participants",1636
"Queensland","Ryan","75-79","female","Eligible participants",1793
"Queensland","Ryan","75-79","female","Participation rate (%)",91.2
"Queensland","Wide Bay","75-79","female","Total participants",2554
"Queensland","Wide Bay","75-79","female","Eligible participants",2883
"Queensland","Wide Bay","75-79","female","Participation rate (%)",88.6
"Queensland","Wright","75-79","female","Total participants",1605
"Queensland","Wright","75-79","female","Eligible participants",1807
"Queensland","Wright","75-79","female","Participation rate (%)",88.8
"South Australia","Adelaide","75-79","female","Total participants",1908
"South Australia","Adelaide","75-79","female","Eligible participants",2156
"South Australia","Adelaide","75-79","female","Participation rate (%)",88.5
"South Australia","Barker","75-79","female","Total participants",2486
"South Australia","Barker","75-79","female","Eligible participants",2760
"South Australia","Barker","75-79","female","Participation rate (%)",90.1
"South Australia","Boothby","75-79","female","Total participants",2365
"South Australia","Boothby","75-79","female","Eligible participants",2613
"South Australia","Boothby","75-79","female","Participation rate (%)",90.5
"South Australia","Grey","75-79","female","Total participants",2381
"South Australia","Grey","75-79","female","Eligible participants",2683
"South Australia","Grey","75-79","female","Participation rate (%)",88.7
"South Australia","Hindmarsh","75-79","female","Total participants",2596
"South Australia","Hindmarsh","75-79","female","Eligible participants",2907
"South Australia","Hindmarsh","75-79","female","Participation rate (%)",89.3
"South Australia","Kingston","75-79","female","Total participants",1859
"South Australia","Kingston","75-79","female","Eligible participants",2090
"South Australia","Kingston","75-79","female","Participation rate (%)",88.9
"South Australia","Makin","75-79","female","Total participants",2164
"South Australia","Makin","75-79","female","Eligible participants",2429
"South Australia","Makin","75-79","female","Participation rate (%)",89.1
"South Australia","Mayo","75-79","female","Total participants",2529
"South Australia","Mayo","75-79","female","Eligible participants",2769
"South Australia","Mayo","75-79","female","Participation rate (%)",91.3
"South Australia","Port Adelaide","75-79","female","Total participants",1907
"South Australia","Port Adelaide","75-79","female","Eligible participants",2191
"South Australia","Port Adelaide","75-79","female","Participation rate (%)",87
"South Australia","Sturt","75-79","female","Total participants",2653
"South Australia","Sturt","75-79","female","Eligible participants",2978
"South Australia","Sturt","75-79","female","Participation rate (%)",89.1
"South Australia","Wakefield","75-79","female","Total participants",2028
"South Australia","Wakefield","75-79","female","Eligible participants",2292
"South Australia","Wakefield","75-79","female","Participation rate (%)",88.5
"Western Australia","Brand","75-79","female","Total participants",1563
"Western Australia","Brand","75-79","female","Eligible participants",1786
"Western Australia","Brand","75-79","female","Participation rate (%)",87.5
"Western Australia","Burt","75-79","female","Total participants",1446
"Western Australia","Burt","75-79","female","Eligible participants",1635
"Western Australia","Burt","75-79","female","Participation rate (%)",88.4
"Western Australia","Canning","75-79","female","Total participants",2400
"Western Australia","Canning","75-79","female","Eligible participants",2698
"Western Australia","Canning","75-79","female","Participation rate (%)",89
"Western Australia","Cowan","75-79","female","Total participants",1423
"Western Australia","Cowan","75-79","female","Eligible participants",1617
"Western Australia","Cowan","75-79","female","Participation rate (%)",88
"Western Australia","Curtin","75-79","female","Total participants",2121
"Western Australia","Curtin","75-79","female","Eligible participants",2343
"Western Australia","Curtin","75-79","female","Participation rate (%)",90.5
"Western Australia","Durack","75-79","female","Total participants",1168
"Western Australia","Durack","75-79","female","Eligible participants",1378
"Western Australia","Durack","75-79","female","Participation rate (%)",84.8
"Western Australia","Forrest","75-79","female","Total participants",1998
